publication,doi,region,site_name,sample_id,sample_year,plant_name,genus,species,growth_form,habitat,lat,lon,elevation,cat,n_samples,conc_ugg_plant,c20_fconc,c21_fconc,c22_fconc,c23_fconc,c24_fconc,c25_fconc,c26_fconc,c27_fconc,c28_fconc,c29_fconc,c30_fconc,c31_fconc,c32_fconc,c20_fd2h,c20_fd2h_unc,c22_fd2h,c22_fd2h_unc,c24_fd2h,c24_fd2h_unc,c26_fd2h,c26_fd2h_unc,c28_fd2h,c28_fd2h_unc,c30_fd2h,c30_fd2h_unc,c32_fd2h,c32_fd2h_unc,c20_fd13c,c20_fd13c_unc,c22_fd13c,c22_fd13c_unc,c24_fd13c,c24_fd13c_unc,c26_fd13c,c26_fd13c_unc,c28_fd13c,c28_fd13c_unc,c30_fd13c,c30_fd13c_unc,c32_fd13c,c32_fd13c_unc,c21_aconc,c22_aconc,c23_aconc,c24_aconc,c25_aconc,c26_aconc,c27_aconc,c28_aconc,c29_aconc,c30_aconc,c31_aconc,c32_aconc,c33_aconc,c21_ad2h,c21_ad2h_unc,c23_ad2h,c23_ad2h_unc,c25_ad2h,c25_ad2h_unc,c27_ad2h,c27_ad2h_unc,c29_ad2h,c29_ad2h_unc,c31_ad2h,c31_ad2h_unc,c33_ad2h,c33_ad2h_unc,c21_ad13c,c21_ad13c_unc,c23_ad13c,c23_ad13c_unc,c25_ad13c,c25_ad13c_unc,c27_ad13c,c27_a13c_unc,c29_ad13c,c29_ad13c_unc,c31_ad13c,c31_ad13c_unc,c33_ad13c,c33_ad13c_unc
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,HB047,2019,Ochrolechia frigida,Ochrolechia,frigida,lichen,terrestrial,70.56,-68.95,195,8,1,1,5.71,0.7,17.06,5.79,29.19,7.03,44.16,4.98,15.85,1.4,10.58,0.72,6.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.57,24.63,103.44,22.72,46.43,16.18,43.58,19.83,200.43,18.83,121.59,9.08,70.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,HB048,2019,Ochrolechia frigida,Ochrolechia,frigida,lichen,terrestrial,70.56,-68.95,195,8,1,1,8.64,1.38,19.26,7.05,30.4,8.77,49.52,5.18,14.91,0.93,5.97,0.36,1.57,nan,nan,-211.45,4.21,-215,5.77,-207.32,3.92,-185.69,4.29,nan,nan,nan,nan,nan,nan,-31.21,0.11,-31.85,0.15,-31.64,0.17,-32.61,0.26,nan,nan,nan,nan,42.84,9.71,616.23,17.62,206.13,0,103.4,0,947.14,0,534.05,0,354.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,HB049,2019,Ochrolechia frigida,Ochrolechia,frigida,lichen,terrestrial,70.56,-68.95,195,8,1,1,2.16,0.33,3.59,1.35,6.08,1.64,9.48,1,2.79,0.21,1.49,0.08,0.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.72,36.72,175.43,35.38,82.41,21.67,61.31,23.9,273.07,24.54,156.08,14.64,121.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,AFR,HB043,2019,Phippsia algida,Phippsia,algida,graminoid,terrestrial,72.42,-77.44,895,5,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,0,3.55,0,10.31,0,5.18,0,4.77,0,10.91,0,16.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,AFR,KVH244,2019,Phippsia algida,Phippsia,algida,graminoid,terrestrial,72.42,-77.44,895,5,1,1,137.5,7.36,164.11,11.1,96.1,14.81,154.57,10.29,14.77,1.26,8.45,1.04,18.42,nan,nan,-300.15,3.52,-275.78,4.2,-301.71,3.52,-252.06,6.11,nan,nan,nan,nan,nan,nan,-36.83,0.34,-37.34,0.17,-37.96,0.3,-38.86,0.39,nan,nan,nan,nan,68.96,24.01,268.43,42.99,451.25,27.32,240.61,21.39,215.57,20.91,433.78,21.72,647.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Brimstone,BRM_T1,2014,Picea glauca,Picea,glauca,tree,terrestrial,63.74,-138.85,639,1,1,1,6.05,2.34,16.25,3.79,18.27,1.33,2.47,nan,1.94,0.38,7.22,0.31,2.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Campbell_Lake,CL_T1,2014,Picea glauca,Picea,glauca,tree,terrestrial,68.21,-133.41,46,1,2,1,2.12,1.53,2.76,1.56,3.42,0.94,1.46,nan,1.9,0.26,4.25,nan,3.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Eagle_Plains,EAG_T1,2014,Picea glauca,Picea,glauca,tree,terrestrial,66.44,-136.68,370,1,3,1,6.89,4.15,20.6,3.88,28.02,2.2,6.09,0.8,7.17,1.7,30.85,3.62,13.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Inuvik,INU_T1,2014,Picea glauca,Picea,glauca,tree,terrestrial,68.32,-133.55,58,1,3,1,4.69,2.34,12.67,3.4,18.65,1.75,3.32,0.59,4.63,0.83,13.16,5.72,5.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Kluane,KL_T1,2014,Picea glauca,Picea,glauca,tree,terrestrial,60.97,-138.06,950,1,3,1,7.14,3.4,13.32,3.66,22.61,0.79,10.34,0.25,16.62,2.64,41.34,4.88,11.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Scree_Hill,SH_T1,2016,Picea glauca,Picea,glauca,tree,terrestrial,65.07,-138.16,875,1,2,1,15.32,4.87,25.92,7.42,32.49,nan,8.31,nan,11.13,2.31,37.28,nan,15.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Scree_Hill,SH_T2,2016,Picea glauca,Picea,glauca,tree,terrestrial,65.07,-138.16,875,1,6,1,15.32,4.87,25.92,7.42,32.49,nan,8.31,nan,11.13,2.31,37.28,nan,15.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Spindly_Pine,SP_T1,2017,Picea glauca,Picea,glauca,tree,terrestrial,60.3,-134.99,792,1,2,1,33.01,19.5,34.79,6.25,40.86,3.07,14.62,1.31,12.89,1.83,32.67,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Takhini_River,TKR_T1,2014,Picea glauca,Picea,glauca,tree,terrestrial,60.85,-135.72,792,1,6,1,13.27,4.73,31.39,5.11,38.82,2.12,10.25,nan,15.33,3.23,48.91,nan,17.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Whitehorse,WH_T1,2014,Picea glauca,Picea,glauca,tree,terrestrial,60.81,-135.21,729,1,3,1,9.13,6.84,17.32,3.92,21.09,2.08,8.05,1.54,11.82,1.42,27.09,0.33,11.79,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Mayo,MYO_T1,2014,Picea mariana,Picea,mariana,tree,terrestrial,63.54,-136.16,555,1,3,1,13.79,4.75,28.58,4.82,26.17,nan,5.57,nan,3.88,nan,14.08,1.76,9.87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-074,2019,Picea mariana,Picea,mariana,tree,terrestrial,58.1,-68.46,61,1,1,1,1388.43,13.74,911,31.14,293.78,4.92,24.8,0,20.42,1.27,170.55,6.29,138.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0,14.57,1.68,1.53,0.16,1.52,0.21,3.99,0.32,5.88,0,5.42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-121,2021,Picea mariana,Picea,mariana,tree,terrestrial,58.1,-68.46,61,1,1,1,572.03,9.65,62.06,11.17,53.69,8.51,14.55,7.73,12.61,7.99,41.29,8.65,29.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43,0.58,2.55,0.42,1.12,0.39,1.26,0.36,7.98,0.52,2.64,0.43,6.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-122,2021,Picea mariana,Picea,mariana,tree,terrestrial,58.1,-68.46,61,1,1,1,21.31,12.2,31.26,14.13,52.45,10.92,18.53,9.68,15.75,10.1,52.99,10.83,36.68,nan,nan,-204.49,8.27,-214.34,4.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-32.23,0.15,-31.29,0.16,-32.48,0.48,-32.6,0.43,nan,nan,nan,nan,0.54,0.63,3.58,0.66,1.7,0.85,1.36,0.59,18.12,0.82,4.47,0.6,9.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-056,2019,Pleurocladula albescens,Pleurocladula,albescens,liverwort,terrestrial,70.56,-68.95,195,7,1,1,27.4,14.73,31.02,4.51,24.04,3.93,8.66,1.19,3.68,0.52,1.68,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.6,7.71,12.83,6.87,9.79,5.98,8.86,4.63,6.74,2.92,4.67,2.52,3.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Brimstone,BRM_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,63.74,-138.85,639,6,1,1,19.01,1.96,59.44,5.08,41.07,3.43,11.49,nan,4.47,nan,6.38,nan,5.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Campbell_Lake,CL_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,68.21,-133.41,46,6,1,1,0.28,nan,0.51,nan,0.87,nan,0.54,nan,0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Dempster_Highway,DHP_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,65.21,-138.33,738,6,1,1,1,nan,5.9,0.7,14.37,1.18,12.05,0.74,13.17,0.25,1.42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Eagle_Plains,EAG_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,66.44,-136.68,370,6,1,1,3.77,0.47,17.91,3.02,35.52,4.28,21.7,2.81,13.33,1,5.27,nan,1.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Inuvik,INU_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,68.32,-133.55,58,6,1,1,1.52,nan,4.09,0.83,6.15,1.19,4.2,0.48,2.08,0.28,1.23,nan,0.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Kluane,KL_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,60.97,-138.06,950,6,1,1,4.41,0.64,10.95,2.49,13.56,2.13,9.55,0.41,2.57,0.23,2.57,0.4,1.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Mayo,MYO_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,63.54,-136.16,555,6,1,1,1,nan,1.88,0.35,3.5,0.45,2.27,nan,0.86,nan,0.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Scree_Hill,SH_M1,2016,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,65.07,-138.16,875,6,1,1,1.64,0.4,3.58,1.09,7.37,1.32,8.28,0.48,6.74,0.31,2.39,nan,1.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Takhini_River,TKR_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,60.85,-135.72,792,6,2,1,4.54,nan,13.59,3.25,18.98,1.48,8.4,0.32,5.99,nan,4.6,0.62,2.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Tsiigehtchic,TSI_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,68.04,-133.49,78,6,1,1,2.51,nan,6.24,1.93,12.61,2.33,7.45,0.87,4.79,nan,7.34,nan,5.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Whitehorse,WH_M1,2014,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,60.81,-135.21,729,6,1,1,4.64,nan,15.86,1.66,19.54,1.65,7.52,0.43,2.82,nan,2.15,0.03,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-077,2019,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,58.1,-68.46,61,6,1,1,5.56,1.03,17.28,2.82,46.62,3.07,29.2,2.1,33.12,0.83,19.42,0.17,6.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.51,0,0.62,0,11.42,0,16.28,0,27.22,0,8.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-111,2021,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,58.1,-68.46,61,6,1,1,6.39,0.4,15.16,1.88,46.17,2.5,25.37,1.38,26.36,0.62,12.52,0.02,5.46,nan,nan,-219.06,3.52,-229.25,3.17,-228.06,3.84,-222.08,3.41,nan,nan,nan,nan,nan,nan,-34.21,0.21,-38,0.08,-38.92,0.17,-39.51,0.14,nan,nan,nan,nan,0.57,0.48,1.07,0.42,0.93,0.59,6.88,0.82,11.46,0.86,12.34,6.88,5.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-112,2021,Pleurozium schreberi,Pleurozium,schreberi,moss,terrestrial,58.1,-68.46,61,6,1,1,16.3,0.85,79.33,5.13,196.34,7.45,110.65,5.19,122.94,1.26,36.4,0,15.93,nan,nan,-244.99,3.61,-250.71,3.66,-247.98,3.38,-245.69,3.4,nan,nan,nan,nan,nan,nan,-34.78,0.09,-37.66,0.1,-38.86,0.19,-39.22,0.16,nan,nan,nan,nan,1.02,0.72,1.63,0.82,4.06,1.45,35.35,1.79,14.1,1.13,16.74,7.18,7.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wilkie_et_al_2013,https://doi.org/10.5194/cp-9-335-2013,Far East Russia,Elgygytgyn,Wilkie_4,2003,Poaceae,Unidentified_poaceae,Unidentified_poaceae,graminoid,terrestrial,67.5,172.1,492,5,1,0,18,nan,32.1,nan,35.7,nan,72.5,nan,23.6,nan,10.2,nan,nan,nan,nan,-237,6,-236,4,-256,3,-239,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
